Rank,Feature,Importance
1,duration,0.2765172921634039
2,balance,0.10304885559347221
3,poutcome_success,0.0916194670854029
4,age,0.0877984567733553
5,day,0.08475121476046964
6,pdays,0.04502832587348906
7,campaign,0.03097113255919243
8,housing_yes,0.01751469915871603
9,month_mar,0.014056672226592298
10,month_jun,0.013800545154307424
11,month_apr,0.012648292471611982
12,job_technician,0.010942551638998913
13,previous,0.010680935145991813
14,month_oct,0.01039419612570435
15,month_feb,0.009362816725482878
16,month_may,0.009347683255890325
17,education_secondary,0.009164441495978882
18,education_tertiary,0.009112898999014234
19,month_jul,0.009109228441081698
20,contact_unknown,0.008722390840094149
21,job_management,0.008038008778295842
22,marital_divorced,0.007331828548393097
23,job_admin.,0.007096651562370865
24,job_services,0.0070635228513348195
25,housing_no,0.006982915880896701
26,marital_single,0.006807431187958545
27,month_sep,0.006794958338263795
28,month_aug,0.006773214048000865
29,marital_married,0.006496785469224535
30,job_blue-collar,0.006280776263957367
31,education_unknown,0.0056935150749720925
32,month_nov,0.005154216175597412
33,contact_cellular,0.005095808908905352
34,job_self-employed,0.004583164265412767
35,loan_no,0.004456812931466609
36,loan_yes,0.004384733686306388
37,education_primary,0.004133558858716582
38,job_entrepreneur,0.003747122944524843
39,month_dec,0.0036887346381293588
40,month_jan,0.0036631572884850716
41,job_housemaid,0.0029385896358408415
42,contact_telephone,0.002727437797113385
43,job_student,0.002655176780317593
44,job_retired,0.0023719946670575373
45,job_unemployed,0.002269163666971942
46,poutcome_unknown,0.002196490682290547
47,poutcome_other,0.0019280598257447688
48,poutcome_failure,0.0015445224391902159
49,default_no,0.0012834090135030102
50,default_yes,0.00086131107726819
51,job_unknown,0.0003648302252386238
