max_depth,min_samples_split,min_samples_leaf,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time
20,100,10,0.49531459170013387,0.5369393139841688,0.5114093959731544,0.5205479452054794,0.5572519083969466,0.5242926310519767,0.021288399353413836,1,2.3501779556274416,1.0101821824793216,0.07495698928833008,0.03549759338596914
,100,10,0.49531459170013387,0.5369393139841688,0.5114093959731544,0.5205479452054794,0.5555555555555556,0.5239533604836983,0.020767574234722166,2,2.1217343330383303,0.9824669002829436,0.07214875221252441,0.03872802354274193
20,100,1,0.4952120383036936,0.5343811394891945,0.5016857720836143,0.5320855614973262,0.5459183673469388,0.5218565757441536,0.019785142695498383,3,2.3212242603302,0.8089079876428413,0.052186107635498045,0.016432841258406227
,100,1,0.4969283276450512,0.5342913128674069,0.5013477088948787,0.5346666666666666,0.5412371134020618,0.5216942258952131,0.01863451497647041,4,2.4223833084106445,0.799569024839074,0.08721361160278321,0.03931296503716843
20,100,5,0.49445983379501385,0.5256837891927952,0.49831195138419987,0.5280974949221394,0.5568181818181818,0.520674250222466,0.022688551614089645,5,2.0088765144348146,0.6246624574563335,0.05862126350402832,0.022949956928476296
20,100,2,0.4924346629986245,0.5248508946322068,0.5006765899864682,0.5310206804536357,0.5492689129052766,0.5196503481952423,0.020660525335422602,6,1.983860158920288,0.4050167100436352,0.07039752006530761,0.02025576801695558
,100,5,0.4927536231884058,0.525965379494008,0.4993252361673414,0.5261016949152543,0.5513720485003191,0.5191035964530657,0.021084663017243342,7,2.116715431213379,0.5453975808617642,0.05781259536743164,0.016384571789176277
15,100,10,0.49531459170013387,0.5321831453218314,0.5057471264367817,0.5213204951856947,0.540327868852459,0.5189786454993801,0.01655713110542755,8,1.3376774787902832,0.34859848871143717,0.05596690177917481,0.015429712630805571
15,100,1,0.4996614759647935,0.5318302387267905,0.4886753603294441,0.5429326287978864,0.531578947368421,0.5189357302374671,0.020924422543328623,9,1.4358801364898681,0.5883638930718078,0.05592503547668457,0.01831342561675056
,100,2,0.49074708704592185,0.5270805812417437,0.5006765899864682,0.5310206804536357,0.5442875481386393,0.5187624973732818,0.01991454267646166,10,2.3786624908447265,0.45158045122348295,0.05499982833862305,0.018144523186854975
15,100,5,0.5013550135501355,0.5208613728129206,0.48770491803278687,0.5371734762223711,0.5408229915088177,0.5175835544254064,0.02044836921110953,11,2.1128776550292967,0.63539520656541,0.07986140251159668,0.028774381795061033
15,100,2,0.49626104690686607,0.5197588747488279,0.4876373626373626,0.5436507936507936,0.533508541392904,0.5161633238673509,0.021350300440754276,12,1.6411677837371825,0.3881052008731066,0.06841187477111817,0.027186460419725382
20,50,5,0.5213394615889692,0.5122897800776197,0.5212903225806451,0.5030181086519114,0.5083836351441985,0.5132642616086687,0.007202503575855214,13,2.183525800704956,0.34479622473442323,0.05528273582458496,0.023560583486483804
,50,5,0.518664047151277,0.5166240409207161,0.5231958762886598,0.5020134228187919,0.5003417634996582,0.5121678301358206,0.009237362091674828,14,2.743583583831787,0.8990760815416364,0.04953451156616211,0.03736297462414055
20,50,10,0.49801324503311256,0.5151710781149128,0.5066489361702128,0.5050505050505051,0.5208053691275167,0.509137826699252,0.007989853071645223,15,2.0502739906311036,0.5915373640027364,0.05906777381896973,0.018033335338785643
,50,10,0.4983476536682089,0.5182341650671785,0.5069860279441117,0.5050234427327528,0.5149051490514905,0.5086992876927485,0.007113789761633035,16,2.4164860248565674,0.4368488646877078,0.0655853271484375,0.014821618991600964
15,50,1,0.5148123765635286,0.5140983606557377,0.5056403450564034,0.5109489051094891,0.49173553719008267,0.5074471049150484,0.008495490280716457,17,2.1561192512512206,0.6680683148489275,0.07574987411499023,0.015318397582087046
,100,20,0.4865979381443299,0.5129251700680272,0.4837595024187975,0.5109078114004222,0.5400788436268068,0.5068538531316766,0.020498032038280736,18,1.738842821121216,0.43891632302972255,0.06322369575500489,0.0037675844514385216
20,50,1,0.5102175346077785,0.5125563425627817,0.5179948586118251,0.48747461069735953,0.5046854082998661,0.5065857509559222,0.01046759321264116,19,2.587604856491089,0.6657144515011884,0.07319998741149902,0.016892680696423565
20,100,20,0.4865979381443299,0.5129251700680272,0.4777158774373259,0.5109078114004222,0.5406824146981627,0.5057658423496536,0.022140785563633848,20,1.6581213474273682,0.4223987234962753,0.042252731323242185,0.013831937584594481
,50,1,0.5137254901960784,0.5146496815286624,0.5178571428571429,0.48484848484848486,0.49762066621346024,0.5057402931287658,0.012588523469159296,21,2.992339849472046,0.7372183151208307,0.061682605743408205,0.027126797132335474
15,50,5,0.5176933158584535,0.5,0.5059920106524634,0.5077233042310275,0.4948168624740843,0.5052450986432058,0.007719024053583529,22,1.2206076622009276,0.20271264580442216,0.06552333831787109,0.011173191508137142
15,50,2,0.5089463220675944,0.5043017868960953,0.5049833887043189,0.511968085106383,0.4934527911784976,0.5047304747905779,0.006286338485309238,23,1.6646451950073242,0.4927585368618598,0.07353529930114747,0.01226072697691219
20,50,2,0.5039893617021277,0.5032679738562091,0.51875808538163,0.4861205145565335,0.5087014725568942,0.5041674816106789,0.010582784634082276,24,2.0148401260375977,0.5380714620117335,0.05817575454711914,0.01942733949517909
,50,2,0.5062623599208965,0.5071151358344114,0.5184227537168714,0.4854631507775524,0.5020408163265306,0.5038608433152525,0.01067889999301085,25,2.564579200744629,0.7237049830813215,0.0744771957397461,0.02368704163346986
,50,20,0.4832764505119454,0.5076615589606929,0.5060893098782138,0.5128900949796472,0.508833922261484,0.5037502673183967,0.010481664889602183,26,1.9122812271118164,0.5949937360430215,0.04811768531799317,0.016689635267579373
15,100,20,0.4865979381443299,0.5129251700680272,0.4777158774373259,0.5109078114004222,0.522972972972973,0.5022239540046156,0.01711879307281802,27,1.4858834743499756,0.18299925642825995,0.060686492919921876,0.011907583714370056
20,50,20,0.4789687924016282,0.5076615589606929,0.49897750511247446,0.5128900949796472,0.512280701754386,0.5021557306417657,0.012615791578131492,28,2.0431931972503663,0.7051768421714875,0.08345775604248047,0.013218024159730472
15,50,10,0.49333333333333335,0.5092105263157894,0.4946091644204852,0.5067567567567568,0.5017325017325017,0.5011284565117733,0.006334470796079799,29,1.4195424556732177,0.4348440895798752,0.056183815002441406,0.017692801256437466
15,2,1,0.4993581514762516,0.5155038759689923,0.4756179024716099,0.5084087968952135,0.4924885695623775,0.4982754592748889,0.01376610379413595,30,1.836503028869629,0.3554949186665937,0.07988448143005371,0.05682098542817191
,2,20,0.48214285714285715,0.5003362474781439,0.48931771192281187,0.5119128658951668,0.5069252077562327,0.49812697803904255,0.011003960304572813,31,2.049827241897583,0.5111964374261947,0.05509505271911621,0.010587759052523616
,5,20,0.48214285714285715,0.5003362474781439,0.48931771192281187,0.5119128658951668,0.5069252077562327,0.49812697803904255,0.011003960304572813,31,2.778115224838257,0.9420915058505193,0.07402582168579101,0.02699373659297919
,10,20,0.48214285714285715,0.5003362474781439,0.48931771192281187,0.5119128658951668,0.5069252077562327,0.49812697803904255,0.011003960304572813,31,2.056903600692749,1.0904415589104417,0.0795626163482666,0.02844899623874963
,20,20,0.48214285714285715,0.5003362474781439,0.48931771192281187,0.5119128658951668,0.5069252077562327,0.49812697803904255,0.011003960304572813,31,2.4215719223022463,0.9587237771784018,0.09147486686706544,0.03914472721889567
15,50,20,0.4785859959211421,0.5053619302949062,0.4969283276450512,0.5128900949796472,0.49239681390296886,0.49723263254874306,0.011682605981474904,35,1.2906295776367187,0.27170145441012755,0.05615468025207519,0.020710400836570268
20,2,20,0.48214285714285715,0.49898580121703856,0.4826629680998613,0.5085207907293797,0.5103163686382394,0.4965257571654752,0.012158604734638702,36,1.8835381984710693,0.6070975777457766,0.05691843032836914,0.02067245165245934
20,5,20,0.48214285714285715,0.49898580121703856,0.4826629680998613,0.5085207907293797,0.5103163686382394,0.4965257571654752,0.012158604734638702,36,2.5215868949890137,0.6223058849194653,0.07761273384094239,0.01783439217347909
20,10,20,0.48214285714285715,0.49898580121703856,0.4826629680998613,0.5085207907293797,0.5103163686382394,0.4965257571654752,0.012158604734638702,36,2.4227026462554933,0.19092410924343575,0.05210518836975098,0.021168867910191645
20,20,20,0.48214285714285715,0.49898580121703856,0.4826629680998613,0.5085207907293797,0.5103163686382394,0.4965257571654752,0.012158604734638702,36,1.7373249530792236,0.39238458291206973,0.061443424224853514,0.02198642478071774
,20,5,0.5009560229445507,0.5104496516782774,0.4860557768924303,0.4950884086444008,0.4863102998696219,0.4957720320058562,0.009238004228707233,40,2.6550922870635985,0.7025773645878757,0.05973343849182129,0.008122765638401504
10,100,5,0.4860335195530726,0.5063113604488079,0.4792691496837667,0.5143658023826209,0.4924187725631769,0.495679720926289,0.012924327702398136,41,0.7999208450317383,0.18335553064092786,0.06455574035644532,0.023801501249013597
20,2,50,0.4811715481171548,0.5024288688410826,0.45017921146953405,0.5031446540880503,0.5392221489782465,0.4952292862988136,0.02924718190753094,42,2.054399871826172,0.8791184544757026,0.0722477912902832,0.024268233010205212
20,5,50,0.4811715481171548,0.5024288688410826,0.45017921146953405,0.5031446540880503,0.5392221489782465,0.4952292862988136,0.02924718190753094,42,2.0915900230407716,0.6315324453445452,0.062169790267944336,0.012801221474999635
20,10,50,0.4811715481171548,0.5024288688410826,0.45017921146953405,0.5031446540880503,0.5392221489782465,0.4952292862988136,0.02924718190753094,42,1.6239880561828612,0.8395980294503373,0.051693153381347653,0.02258247789149025
20,20,50,0.4811715481171548,0.5024288688410826,0.45017921146953405,0.5031446540880503,0.5392221489782465,0.4952292862988136,0.02924718190753094,42,1.9958709239959718,0.5578065537960523,0.05455174446105957,0.01657144521052842
20,50,50,0.4811715481171548,0.5024288688410826,0.45017921146953405,0.5031446540880503,0.5392221489782465,0.4952292862988136,0.02924718190753094,42,1.5042794227600098,0.38133241337894414,0.05829520225524902,0.022087506886599714
20,100,50,0.4811715481171548,0.5024288688410826,0.45017921146953405,0.5031446540880503,0.5392221489782465,0.4952292862988136,0.02924718190753094,42,1.5516950607299804,0.33051421847950413,0.05332164764404297,0.01573359684747118
,2,50,0.4811715481171548,0.5024288688410826,0.45017921146953405,0.5031446540880503,0.5392221489782465,0.4952292862988136,0.02924718190753094,42,1.735685110092163,0.607273482012327,0.060547494888305665,0.007685655558250609
,5,50,0.4811715481171548,0.5024288688410826,0.45017921146953405,0.5031446540880503,0.5392221489782465,0.4952292862988136,0.02924718190753094,42,1.993951940536499,0.600660835700935,0.08092021942138672,0.02461377854932223
,10,50,0.4811715481171548,0.5024288688410826,0.45017921146953405,0.5031446540880503,0.5392221489782465,0.4952292862988136,0.02924718190753094,42,1.7033241271972657,0.6907875748479805,0.05571880340576172,0.008582693860816533
,20,50,0.4811715481171548,0.5024288688410826,0.45017921146953405,0.5031446540880503,0.5392221489782465,0.4952292862988136,0.02924718190753094,42,1.3282583236694336,0.17490648481036025,0.04643101692199707,0.0144962359743955
,50,50,0.4811715481171548,0.5024288688410826,0.45017921146953405,0.5031446540880503,0.5392221489782465,0.4952292862988136,0.02924718190753094,42,1.9150057792663575,0.3544621158590364,0.047096967697143555,0.005785983434290076
,100,50,0.4811715481171548,0.5024288688410826,0.45017921146953405,0.5031446540880503,0.5392221489782465,0.4952292862988136,0.02924718190753094,42,1.1651233673095702,0.170758592103495,0.03489422798156738,0.011251183450459433
20,20,5,0.4948186528497409,0.5038759689922481,0.47989276139410186,0.49967553536664505,0.4941935483870968,0.49449129339796655,0.0081026101198285,54,2.3089091300964357,0.5249084816377847,0.07171006202697754,0.019147054188848454
10,100,1,0.4780763790664781,0.5066666666666667,0.4763250883392226,0.5153631284916201,0.49094858797972485,0.4934759701087425,0.015431979704027104,55,0.8658164024353028,0.1721555863848866,0.059902191162109375,0.014723160182270097
20,20,1,0.5032010243277849,0.5085173501577287,0.4695879659908437,0.48868778280542985,0.4964447317388494,0.49328777100412735,0.013586903420803542,56,2.3343092918396,0.6496926595255982,0.0533536434173584,0.016391131980667852
20,20,2,0.5089974293059126,0.5048293625241468,0.4714475431606906,0.4830729166666667,0.4974293059125964,0.49315531151400266,0.013988603103798833,57,2.748816204071045,0.84768247150031,0.05625033378601074,0.018213391316109866
10,100,2,0.47625797306874557,0.5077138849929874,0.4752475247524752,0.5153631284916201,0.49094858797972485,0.4931062198571106,0.016224707385263427,58,0.7832930564880372,0.21713564809379074,0.05783500671386719,0.01291273526954346
15,2,50,0.4811715481171548,0.5024288688410826,0.45017921146953405,0.5031446540880503,0.5273095077545515,0.49284675805407463,0.025854882267741547,59,1.6692963123321534,0.5090584903950158,0.07027654647827149,0.021815848271926917
15,5,50,0.4811715481171548,0.5024288688410826,0.45017921146953405,0.5031446540880503,0.5273095077545515,0.49284675805407463,0.025854882267741547,59,1.5653135299682617,0.2838659026793892,0.05689558982849121,0.021932118719174463
15,10,50,0.4811715481171548,0.5024288688410826,0.45017921146953405,0.5031446540880503,0.5273095077545515,0.49284675805407463,0.025854882267741547,59,1.4863361835479736,0.5958725410400623,0.04830183982849121,0.027269341180121556
15,20,50,0.4811715481171548,0.5024288688410826,0.45017921146953405,0.5031446540880503,0.5273095077545515,0.49284675805407463,0.025854882267741547,59,1.1831512928009034,0.23343600641487663,0.050222158432006836,0.02010513510083904
15,50,50,0.4811715481171548,0.5024288688410826,0.45017921146953405,0.5031446540880503,0.5273095077545515,0.49284675805407463,0.025854882267741547,59,1.703523874282837,0.18227594953410944,0.06827774047851562,0.009379880857236289
15,100,50,0.4811715481171548,0.5024288688410826,0.45017921146953405,0.5031446540880503,0.5273095077545515,0.49284675805407463,0.025854882267741547,59,1.3568660736083984,0.4475467624029877,0.05318741798400879,0.017222719879960047
,20,2,0.5108005082592122,0.509090909090909,0.47575360419397117,0.4740932642487047,0.49019607843137253,0.4919868728448339,0.015706101475070365,65,2.363126516342163,0.3679189545138522,0.06743569374084472,0.0299157969284815
,2,10,0.47455386649041637,0.5093008338678641,0.4936960849369608,0.4957152274225445,0.4828042328042328,0.49121404910440364,0.01184769670560119,66,2.5362940311431883,0.5525044031188355,0.06899199485778809,0.01137208749615229
,5,10,0.47455386649041637,0.5093008338678641,0.4936960849369608,0.4957152274225445,0.4828042328042328,0.49121404910440364,0.01184769670560119,66,2.0824296474456787,0.4675935177267586,0.05409917831420898,0.009964374922978626
,10,10,0.47455386649041637,0.5093008338678641,0.4936960849369608,0.4957152274225445,0.4828042328042328,0.49121404910440364,0.01184769670560119,66,2.968541145324707,0.805029101130434,0.06972727775573731,0.03745456574700138
,20,10,0.47455386649041637,0.5093008338678641,0.4936960849369608,0.4957152274225445,0.4828042328042328,0.49121404910440364,0.01184769670560119,66,2.7893186092376707,0.6380597725146865,0.06486573219299316,0.013469901475633539
